epoch,epoch_time_s,loss,accuracy
1,174.34930419921875,1.5788817008336384,0.37557870370370366
2,167.14195251464844,0.910573810338974,0.620672123015873
3,182.2410888671875,0.7296812480522527,0.7107886904761904
4,188.96324157714844,0.6518606191707982,0.7382936507936508
5,185.7395477294922,0.6077796042793326,0.751016865079365
6,202.25946044921875,0.5042164673407873,0.8019138558201058
7,199.8922882080078,0.4694623069630729,0.814124503968254
8,191.4767608642578,0.48946472878257435,0.8159391534391536
9,184.4165802001953,0.4476771247055795,0.8236731150793651
10,185.0847625732422,0.4411649399747451,0.831117724867725
11,177.9368438720703,0.4307151215357913,0.8342055224867724
12,161.14730834960938,0.41506896002425087,0.8461805555555555
13,159.50790405273438,0.3686007782816887,0.8567129629629631
14,157.5929412841797,0.4168030812094609,0.8468005952380953
15,156.3858184814453,0.3531319834291935,0.8635458002645503
16,158.45448303222656,0.34280791381994885,0.8787905092592593
17,160.61346435546875,0.3079755882111688,0.8767361111111112
18,161.1804962158203,0.334509428176615,0.8748263888888889
19,154.87042236328125,0.30950188347034985,0.8885912698412698
20,158.89573669433594,0.2854934376147058,0.8978215939153438
